# tau vacf_xx vacf_yy vacf_zz
2.500000000000000000e+01 4.429411201326525487e-11 4.998262327731059455e-11 5.237477003743170288e-11
2.600000000000000000e+01 4.349625666518038707e-11 5.202834120180397662e-11 5.039752573838908869e-11
2.700000000000000000e+01 5.720117107530495027e-11 6.633584608826178051e-11 6.104050667887822911e-11
2.800000000000000000e+01 7.007773633307302725e-11 7.711463411229482700e-11 6.992719117646687164e-11
2.900000000000000000e+01 7.040665176491967586e-11 7.366509197338379634e-11 6.718944166520813749e-11
3.000000000000000000e+01 5.791374936289845803e-11 5.780257214177120421e-11 5.421890839525553549e-11
3.100000000000000000e+01 4.188174148740341785e-11 4.058762262826405367e-11 4.051256326396467863e-11
3.200000000000000000e+01 3.329276550730147717e-11 3.311105679779066384e-11 3.547449914638055719e-11
3.300000000000000000e+01 3.751755691721931396e-11 3.923688007599637900e-11 4.226222072317645413e-11
3.400000000000000000e+01 5.192505133672683688e-11 5.455573882909311753e-11 5.694118815918021379e-11
3.500000000000000000e+01 6.897851400439151376e-11 7.086229990235606991e-11 7.219649292924027397e-11
3.600000000000000000e+01 8.175705331410603939e-11 8.210048086565084288e-11 8.251758508358215311e-11
3.700000000000000000e+01 8.746227675146991786e-11 8.711762892435986482e-11 8.687873012181975973e-11
3.800000000000000000e+01 8.732955653476907305e-11 8.825025974550144477e-11 8.753546640792601469e-11
3.900000000000000000e+01 8.463716740756348531e-11 8.828604917425057210e-11 8.719687313697214407e-11
4.000000000000000000e+01 8.241334806385682794e-11 8.827118635798629062e-11 8.702286751333463425e-11
4.100000000000000000e+01 8.155939846490476785e-11 8.716829029487877591e-11 8.625061464148629890e-11
4.200000000000000000e+01 8.047043644793051623e-11 8.315832616998794561e-11 8.318498939513135245e-11
4.300000000000000000e+01 7.667523709308489356e-11 7.534048317888666997e-11 7.656601107527603824e-11
4.400000000000000000e+01 6.887156136512282796e-11 6.444909831159338292e-11 6.639224146040157918e-11
4.500000000000000000e+01 5.742270589457829177e-11 5.222528352143855510e-11 5.389518099507049423e-11
4.600000000000000000e+01 4.361045618435072850e-11 4.016096734617835242e-11 4.081952600100903631e-11
4.700000000000000000e+01 2.900046585492275130e-11 2.872537316539480723e-11 2.853923323657096915e-11
4.800000000000000000e+01 1.514843734697824632e-11 1.775022450471318834e-11 1.755567797211980781e-11
4.900000000000000000e+01 3.256994111003390953e-12 7.372596857070073555e-12 7.678049565902734409e-12
5.000000000000000000e+01 -6.160763406795016544e-12 -1.693999773919557649e-12 -1.233011169499768626e-12
5.100000000000000000e+01 -1.319695919627664467e-11 -8.850417036307621643e-12 -8.884421045215611998e-12
5.200000000000000000e+01 -1.802934199586294294e-11 -1.419014489219443572e-11 -1.498529433033755570e-11
5.300000000000000000e+01 -2.079823374996125990e-11 -1.826378937478634922e-11 -1.965219146480128687e-11
5.400000000000000000e+01 -2.205846136162020221e-11 -2.169564088812924488e-11 -2.326910581591978397e-11
5.500000000000000000e+01 -2.286754406517898399e-11 -2.494429977655932080e-11 -2.620335449006637994e-11
5.600000000000000000e+01 -2.440323083017917581e-11 -2.810276755886152937e-11 -2.882839705046632887e-11
5.700000000000000000e+01 -2.757908484915802710e-11 -3.106368545016787272e-11 -3.151744702443694230e-11
5.800000000000000000e+01 -3.248211009386679874e-11 -3.367654839342551498e-11 -3.411033642999261842e-11
5.900000000000000000e+01 -3.783343954594672789e-11 -3.552400122682425232e-11 -3.571390031810683951e-11
6.000000000000000000e+01 -4.147127143932280645e-11 -3.596972840961925541e-11 -3.557351872103761840e-11
6.100000000000000000e+01 -4.179071368505950282e-11 -3.474389430228854072e-11 -3.399880697634537622e-11
6.200000000000000000e+01 -3.875394383553266497e-11 -3.236786012792216924e-11 -3.217089936115758826e-11
6.300000000000000000e+01 -3.372869896219407329e-11 -2.988998312623496331e-11 -3.111854100114092377e-11
6.400000000000000000e+01 -2.860587374698272594e-11 -2.818492399697082472e-11 -3.100276807129510214e-11
6.500000000000000000e+01 -2.493013436494666233e-11 -2.733531026535235415e-11 -3.115954812941032889e-11
6.600000000000000000e+01 -2.348337576986182266e-11 -2.657167839006246660e-11 -3.062802411564786141e-11
6.700000000000000000e+01 -2.412893409928274091e-11 -2.501320385624345171e-11 -2.879360376820754680e-11
6.800000000000000000e+01 -2.570998700143766886e-11 -2.264040821536632929e-11 -2.585503940294959775e-11
6.900000000000000000e+01 -2.653718786397188825e-11 -2.030312536703520622e-11 -2.273086038596640367e-11
7.000000000000000000e+01 -2.559840311739181148e-11 -1.877083192876264892e-11 -2.037752249298487794e-11
7.100000000000000000e+01 -2.330193843699307185e-11 -1.815189698321454699e-11 -1.923735161225762350e-11
7.200000000000000000e+01 -2.090547519109591522e-11 -1.815906483044190890e-11 -1.921646489171154110e-11
7.300000000000000000e+01 -1.951860146705936227e-11 -1.863424009983420807e-11 -1.988647558388568134e-11
7.400000000000000000e+01 -1.969506145257863006e-11 -1.972403675024637358e-11 -2.076810462319822309e-11
