# t D_xx D_yy D_zz
2.013200000000000000e+04 4.337706935543248387e-09 5.218402931612971294e-10 1.613180678906780872e-09
2.013600000000000000e+04 4.330116654077415295e-09 5.176758728909637966e-10 1.631075502855277682e-09
2.014000000000000000e+04 4.322592728279751794e-09 5.164991192556948547e-10 1.645013088054545027e-09
2.014400000000000000e+04 4.316123793701068597e-09 5.203787585723231485e-10 1.651880392562010968e-09
2.014800000000000000e+04 4.312320528549880357e-09 5.279845473696321092e-10 1.651430652201687357e-09
2.015200000000000000e+04 4.313339741503306874e-09 5.365276228765277698e-10 1.645568172567236561e-09
2.015600000000000000e+04 4.320152632052638089e-09 5.445041330178790516e-10 1.637603001384051769e-09
2.016000000000000000e+04 4.330613863158093719e-09 5.520770603575225090e-10 1.631493631555668608e-09
2.016400000000000000e+04 4.339937247832777034e-09 5.590795263943365346e-10 1.630478136470898359e-09
2.016800000000000000e+04 4.343570713606893954e-09 5.637487138591864198e-10 1.635091186124060068e-09
2.017200000000000000e+04 4.340096708348942080e-09 5.639961931743571979e-10 1.642300766192111193e-09
2.017600000000000000e+04 4.331922341810372193e-09 5.596893854080004349e-10 1.647596098446699747e-09
2.018000000000000000e+04 4.323122104728400237e-09 5.535870090773109078e-10 1.648564704214258151e-09
2.018400000000000000e+04 4.316130514368486876e-09 5.501779102330914856e-10 1.646610510751170532e-09
2.018800000000000000e+04 4.310226914019414113e-09 5.531833119844935643e-10 1.645793707803822595e-09
2.019200000000000000e+04 4.303307732137845523e-09 5.630450557005665888e-10 1.649844860625106490e-09
2.019600000000000000e+04 4.295171245124103386e-09 5.761316300090937935e-10 1.659003276204626196e-09
2.020000000000000000e+04 4.288623507824439866e-09 5.869056944601533383e-10 1.669256430903955487e-09
2.020400000000000000e+04 4.287204835651294689e-09 5.918735838203834636e-10 1.675239368799062359e-09
2.020800000000000000e+04 4.292237815940319009e-09 5.920362620777447726e-10 1.674406283515544677e-09
2.021200000000000000e+04 4.301654327020813467e-09 5.915888222396987705e-10 1.668854304406254852e-09
2.021600000000000000e+04 4.310327381547045145e-09 5.940191840178104668e-10 1.663632162923100856e-09
2.022000000000000000e+04 4.311585966791229128e-09 5.990123150195107672e-10 1.663373647162690615e-09
2.022400000000000000e+04 4.300640424550131082e-09 6.027132129212870880e-10 1.669694661029611072e-09
2.022800000000000000e+04 4.278497354148869991e-09 6.008063675719637998e-10 1.680476176154381409e-09
2.023200000000000000e+04 4.252712342429479474e-09 5.917288183971306636e-10 1.691457721165977089e-09
2.023600000000000000e+04 4.233679131819955191e-09 5.779748589245646589e-10 1.699328582672708288e-09
2.024000000000000000e+04 4.229120935968279530e-09 5.649647448213294261e-10 1.703416443504707345e-09
2.024400000000000000e+04 4.240105185451596885e-09 5.581858599692229632e-10 1.704609233102785138e-09
2.024800000000000000e+04 4.260268529975888181e-09 5.603478911783613235e-10 1.703659596489538502e-09
2.025200000000000000e+04 4.278760580913344622e-09 5.703393824105185035e-10 1.700870879112764143e-09
2.025600000000000000e+04 4.285761530828000231e-09 5.842322542504198611e-10 1.696791411600528895e-09
2.026000000000000000e+04 4.277401896287879681e-09 5.970926338834543472e-10 1.692947708561951225e-09
2.026400000000000000e+04 4.257354238657164355e-09 6.046297187084623221e-10 1.692040287354719963e-09
2.026800000000000000e+04 4.234918159003505199e-09 6.044122014191080218e-10 1.696857151062312277e-09
2.027200000000000000e+04 4.220666301128070584e-09 5.963269591708455796e-10 1.708094114238220496e-09
2.027600000000000000e+04 4.220884028128307791e-09 5.823726723204761541e-10 1.722872248938801886e-09
2.028000000000000000e+04 4.233759069935536017e-09 5.664092726920443794e-10 1.735473859461885754e-09
2.028400000000000000e+04 4.250776214676169410e-09 5.536707038890372414e-10 1.740207832289611929e-09
2.028800000000000000e+04 4.262451194584587774e-09 5.491282234360425825e-10 1.734997432066687220e-09
2.029200000000000000e+04 4.263580368224949886e-09 5.547075259404146874e-10 1.723231963011458241e-09
2.029600000000000000e+04 4.255008641938808282e-09 5.673484015194476711e-10 1.711779128688744513e-09
2.030000000000000000e+04 4.242294973341582460e-09 5.804371833176857422e-10 1.706447486740297950e-09
2.030400000000000000e+04 4.232500142351003863e-09 5.880775103734788422e-10 1.708912561246898130e-09
2.030800000000000000e+04 4.230599195253557827e-09 5.883701341744820077e-10 1.717053952013618791e-09
2.031200000000000000e+04 4.237424523311428476e-09 5.831068243243025102e-10 1.727160148405409094e-09
2.031600000000000000e+04 4.250074571582387698e-09 5.752132839505222231e-10 1.735765132186614429e-09
2.032000000000000000e+04 4.263813098036813518e-09 5.668712384326698283e-10 1.740415956817655308e-09
2.032400000000000000e+04 4.273932655601924322e-09 5.595443495718153888e-10 1.740210908798807452e-09
